,year,elec_access_pct,gdp_growth_pct,industry_pct_gdp,population,urban_pop_pct
0,2014,62.4,5.099054602,26.31104678,157964929.0,29.19444423
1,2015,74.0,5.604495397,26.83139483,159383179.0,29.53950995
2,2016,75.9,6.1618156,31.06915138,160811932.0,29.87539155
3,2017,88.0,5.68710307,31.24829196,162186147.0,30.20157984
4,2018,86.9,6.441974947,31.98281359,163523103.0,30.5175656
5,2019,92.2,6.972643998,32.8525492,164913055.0,30.82283963
6,2020,96.2,2.586478166,32.91156508,166298024.0,31.11689273
7,2021,99.0,6.07069417,33.31609439,167658854.0,31.39921569
8,2022,99.4,6.008474629,33.9200805,169384897.0,31.67373473
9,2023,99.5,4.490704094,34.59427216,171466990.0,32.1578465
10,2024,99.5,2.96499838,34.09717435,173562364.0,32.67831963
11,2025,99.5,2.96499838,34.09717435,173562364.0,32.67831963
